
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file get-ci-ids.cql 

+------------------------------------------------------+
| x.full_node_name                             | ID(x) |
| "robo11-fr7-dr4.via.novonet"                 | 4543  |
| "robo12-fr13-dr2.via.novonet"                | 4576  |
| "robo12-fr13-dr3.via.novonet"                | 4577  |
| "robo12-fr13-dr4.via.novonet"                | 4578  |
| "robo12-fr13-dr5.via.novonet"                | 4579  |
| "robo12-fr14-dr0.via.novonet"                | 4580  |
| "robo12-fr14-dr1.via.novonet"                | 4581  |
| "robo12-fr14-dr10.via.novonet"               | 4582  |
| "robo12-fr14-dr11.via.novonet"               | 4583  |
| "robo12-fr14-dr2.via.novonet"                | 4584  |
| "robo12-fr14-dr3.via.novonet"                | 4585  |
| "robo12-fr14-dr4.via.novonet"                | 4586  |
| "robo12-fr14-dr5.via.novonet"                | 4587  |
| "robo12-fr14-dr6.via.novonet"                | 4588  |
| "robo12-fr14-dr7.via.novonet"                | 4589  |
| "robo12-fr14-dr8.via.novonet"                | 4590  |
| "robo12-fr14-dr9.via.novonet"                | 4591  |
| "robo12-fr4-ctl.via.novonet"                 | 4592  |
| "robo12-fr4-dr0.via.novonet"                 | 4593  |
| "robo12-fr4-dr1.via.novonet"                 | 4594  |
| "robo12-fr4-dr2.via.novonet"                 | 4595  |
| "robo12-fr4-dr3.via.novonet"                 | 4596  |
| "robo12-fr5-ctl.via.novonet"                 | 4597  |
| "robo12-fr5-dr0.via.novonet"                 | 4598  |
| "robo12-fr5-dr1.via.novonet"                 | 4599  |
| "robo12-fr5-dr2.via.novonet"                 | 4600  |
| "robo12-fr5-dr3.via.novonet"                 | 4601  |
| "robo12-fr6-ctl.via.novonet"                 | 4602  |
| "robo12-fr6-dr0.via.novonet"                 | 4603  |
| "robo12-fr6-dr1.via.novonet"                 | 4604  |
| "robo12-fr6-dr2.via.novonet"                 | 4605  |
| "robo12-fr6-dr3.via.novonet"                 | 4606  |
| "robo12-fr7-ctl.via.novonet"                 | 4607  |
| "robo11-fr7-dr5.via.novonet"                 | 4544  |
| "robo11-fr7-dr6.via.novonet"                 | 4545  |
| "robo11-fr7-dr7.via.novonet"                 | 4546  |
| "robo11-fr7-dr8.via.novonet"                 | 4547  |
| "robo11-fr7-dr9.via.novonet"                 | 4548  |
| "robo11-frame0.via.novonet"                  | 4549  |
| "robo11-frame1.via.novonet"                  | 4550  |
| "robo11-frame10.via.novonet"                 | 4551  |
| "robo11-frame11.via.novonet"                 | 4552  |
| "robo11-frame12.via.novonet"                 | 4553  |
| "robo11-frame13.via.novonet"                 | 4554  |
| "robo11-frame14.via.novonet"                 | 4555  |
| "robo11-frame15.via.novonet"                 | 4556  |
| "robo11-frame16.via.novonet"                 | 4557  |
| "robo11-frame17.via.novonet"                 | 4558  |
| "robo11-frame2.via.novonet"                  | 4559  |
| "robo11-frame3.via.novonet"                  | 4560  |
| "robo11-frame4.via.novonet"                  | 4561  |
| "robo11-frame5.via.novonet"                  | 4562  |
| "robo11-frame6.via.novonet"                  | 4563  |
| "robo11-frame7.via.novonet"                  | 4564  |
| "robo11-frame8.via.novonet"                  | 4565  |
| "robo11-frame9.via.novonet"                  | 4566  |
| "robo11-vtc0.via.novonet"                    | 4567  |
| "robo11-vtc1.via.novonet"                    | 4568  |
| "robo11-vtc2.via.novonet"                    | 4569  |
| "robo11-vtc3.via.novonet"                    | 4570  |
| "robo11-vts.via.novonet"                     | 4571  |
| "robo11.via.novonet"                         | 4572  |
| "robo12-cx-1.via.novonet"                    | 4573  |
| "robo12-fr13-dr0.via.novonet"                | 4574  |
| "robo12-fr13-dr1.via.novonet"                | 4575  |
| "robo12-fr7-dr0.via.novonet"                 | 4608  |
| "robo12-fr7-dr1.via.novonet"                 | 4609  |
| "robo12-fr7-dr2.via.novonet"                 | 4610  |
| "robo12-fr7-dr3.via.novonet"                 | 4611  |
| "robo12-fr8-ctl.via.novonet"                 | 4612  |
| "robo12-fr8-dr0.via.novonet"                 | 4613  |
| "robo12-fr8-dr1.via.novonet"                 | 4614  |
| "robo12-fr8-dr2.via.novonet"                 | 4615  |
| "robo12-fr9-ctl.via.novonet"                 | 4616  |
| "robo12-fr9-dr0.via.novonet"                 | 4617  |
| "robo12-fr9-dr1.via.novonet"                 | 4618  |
| "robo12-fr9-dr2.via.novonet"                 | 4619  |
| "robo12-frame1.via.novonet"                  | 4620  |
| "robo12-frame10.via.novonet"                 | 4621  |
| "robo12-frame11.via.novonet"                 | 4622  |
| "robo12-frame12.via.novonet"                 | 4623  |
| "robo12-frame13.via.novonet"                 | 4624  |
| "robo12-frame17.via.novonet"                 | 4625  |
| "robo12-frame2.via.novonet"                  | 4626  |
| "robo12-frame4.via.novonet"                  | 4627  |
| "robo12-frame5.via.novonet"                  | 4628  |
| "robo12-frame6.via.novonet"                  | 4629  |
| "robo12-frame7.via.novonet"                  | 4630  |
| "robo12-frame8.via.novonet"                  | 4631  |
| "robo12-frame9.via.novonet"                  | 4632  |
| "robo12-vtc4.via.novonet"                    | 4633  |
| "robo12-vtc5.via.novonet"                    | 4634  |
| "robo12-vtc6.via.novonet"                    | 4635  |
| "robo12-vtc7.via.novonet"                    | 4636  |
| "robo12-vts.via.novonet"                     | 4637  |
| "robo12.via.novonet"                         | 4638  |
| "robo2-fr1-dr0.via.novonet"                  | 4639  |
| "robo2-fr1-dr1.via.novonet"                  | 4640  |
| "robo2-fr1-dr2.via.novonet"                  | 4641  |
