
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:teamworks prd hps"                            | 2                 | ["Windows"]                               |
| "aviva uk:sharepoint (hp) prd hps"                      | 3                 | ["Windows"]                               |
| "aviva uk:sas web report studio uat hps"                | 2                 | ["Windows"]                               |
| "aviva uk:system architect prd hpg"                     | 1                 | ["Windows"]                               |
| "aviva uk:price optimisation prd hps(x)"                | 2                 | ["Windows"]                               |
| "aviva uk:exceed claims prd hpg(x)"                     | 1                 | ["Windows"]                               |
| "aviva uk:isda counterparty prd hps"                    | 2                 | ["Windows"]                               |
| "aviva uk:hpi cache pre hps"                            | 2                 | ["Windows"]                               |
| "aviva uk:payprep prd hpp"                              | 1                 | ["z/OS"]                                  |
| "aviva uk:bps prd hpg"                                  | 1                 | ["z/OS"]                                  |
| "aviva uk:siebel 8 (ukhe) dev hpg"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:sbc groupfinance01 pre hps"                   | 2                 | ["Windows"]                               |
| "aviva uk:galaxy rss prd hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:ai temp build hpb"                            | 58                | ["Windows"]                               |
| "aviva uk:common performance mart dev hps"              | 3                 | ["z/OS"]                                  |
| "aviva uk:oracle fin uat hpb"                           | 5                 | ["AIX","Other"]                           |
| "aviva uk:internal portal tst hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:fum prd hpg"                                  | 2                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:business objects (ukgi) dev hps(x)"           | 2                 | ["Windows"]                               |
| "aviva uk:ecommerce managment dev hpb"                  | 1                 | ["Other"]                                 |
| "aviva uk:message broker tst hpg"                       | 1                 | ["Other"]                                 |
| "aviva uk:mainframe infrastructure support dev hps"     | 1                 | ["z/OS"]                                  |
| "aviva uk:ukdi rescue q&b tst hpb"                      | 8                 | ["Windows"]                               |
| "kpmg cube px prd hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:seps pre hps"                                 | 4                 | ["Windows"]                               |
| "aviva uk:wsrte sit hpb"                                | 1                 | ["Windows"]                               |
| "aviva uk:process expert prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:cuacs prd hpg"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:datacap uat hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:aquila prd hpp"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:sbc finance01 prd hps(x)"                     | 2                 | ["Windows"]                               |
| "aviva uk:asc magnum uat hpb"                           | 3                 | ["Windows"]                               |
| "aviva uk:epic tst hpb"                                 | 1                 | ["Windows"]                               |
| "aviva uk:isis netquotes prd hpg"                       | 12                | ["AIX","Other"]                           |
| "aviva uk:off claims prd hpg"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:hsbc student home cp prd hps"                 | 6                 | ["Windows"]                               |
| "aviva uk:demand capture dev hps"                       | 2                 | ["Windows"]                               |
| "aviva uk:cosmic claims tst hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:quota management prd hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:documentum dev hps"                           | 1                 | ["VMWare"]                                |
| "aviva uk:securewave prd hps(x)"                        | 1                 | ["Windows"]                               |
| "aviva uk:mainframe aviva france prd hps"               | 1                 | ["z/OS"]                                  |
| "aviva uk:pension & annuity esb (ukl) prv hpb"          | 6                 | ["Linux"]                                 |
| "aviva uk:motor claims - cps prd hpp"                   | 5                 | ["z/OS"]                                  |
| "aviva uk:adviser portal prd hpg"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:lenci prd hpp"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:bre (ukhe) dev hpg"                           | 3                 | ["AIX","Other"]                           |
| "aviva uk:cvs appservers01 uka2 prd hps"                | 29                | ["Windows"]                               |
| "aviva uk:oracle hr uat hpb"                            | 4                 | ["AIX"]                                   |
| "aviva uk:e-solar prv hps"                              | 1                 | ["Windows"]                               |
| "aviva uk:mi marts prd hpp"                             | 5                 | ["z/OS"]                                  |
| "aviva uk:tam 5 (ecommerce) uat hps(x)"                 | 6                 | ["Windows","Other"]                       |
| "aviva uk:party esb (ukl) uat hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:mars dev hps"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:bre (life) pre hpg"                           | 12                | ["AIX","Other"]                           |
| "aviva uk:cvs infrastructure norwich uka2 pre hps"      | 1                 | ["Windows"]                               |
| "aviva uk:pe tst hps"                                   | 4                 | ["z/OS"]                                  |
| "aviva uk:coast trading tool prd hps"                   | 2                 | ["VMWare","Windows"]                      |
| "aviva uk:sas ent guide v4 sas v9 uat hps"              | 1                 | ["Windows"]                               |
| "aviva uk:datacap sit hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:click on a doc tst hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:exceed policy uat hps(x)"                     | 3                 | ["z/OS"]                                  |
| "aviva uk:asc magnum sit hpb"                           | 3                 | ["Windows"]                               |
| "aviva uk:systems inventory dev hps"                    | 5                 | ["Windows"]                               |
| "aviva uk:edi gateway dev hps"                          | 2                 | ["Windows"]                               |
| "aviva uk:content manager (ukhe) pre hps"               | 2                 | ["AIX"]                                   |
| "aviva uk:sametime 7.0 prd hps"                         | 2                 | ["Windows"]                               |
| "aviva uk:qas (ukgi) dev hpb"                           | 4                 | ["Windows"]                               |
| "aviva uk:abacus tst hps"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:vio prd hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:cra cache pre hps"                            | 2                 | ["Windows"]                               |
| "aviva uk:schemes accounting prd hpg"                   | 1                 | ["z/OS"]                                  |
| "aviva uk:kxen analytics prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:pendragon perspective prd hps"                | 1                 | ["Windows"]                               |
| "aviva uk:application catalogue prd hps"                | 1                 | ["Windows"]                               |
| "aviva uk:novadigm prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:siebel 8 (ukhe) dev hps"                      | 5                 | ["Windows","VMWare"]                      |
| "aviva uk:document capture uat hps(x)"                  | 1                 | ["Windows"]                               |
| "aviva uk:cover note prd hpp"                           | 1                 | ["z/OS"]                                  |
| "aviva uk:racads prd hpp"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:exceed policy dev hpb"                        | 5                 | ["Windows"]                               |
