
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:tmu prd hps(x)"                               | 2                 | ["Windows"]                               |
| "aviva uk:business objects (life) prd hps"              | 22                | ["Windows"]                               |
| "aviva uk:business objects (ai) prd hpg"                | 2                 | ["Windows"]                               |
| "aviva uk:sas ms add in dev hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:radar (ukgi rtpo) uat hpb"                    | 2                 | ["Windows"]                               |
| "aviva uk:electronic collections dev hps"               | 1                 | ["z/OS"]                                  |
| "aviva uk:heritage dev hps"                             | 6                 | ["Windows"]                               |
| "aviva uk:operational data store (ods) uat3 hps"        | 1                 | ["Windows"]                               |
| "aviva uk:pci pre hpb"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:tam-sso (desktop) prd hpg"                    | 9                 | ["Windows"]                               |
| "aviva uk:domain management prd hps(x)"                 | 15                | ["Windows"]                               |
| "aviva uk:german database prd hpb"                      | 2                 | ["Windows"]                               |
| "aviva uk:asc prd hpg"                                  | 1                 | ["z/OS"]                                  |
| "aviva uk:aviva firewall prd hps"                       | 1                 | ["Other"]                                 |
| "aviva uk:cardinus prd hps"                             | 1                 | ["Windows"]                               |
| "aviva uk:phoenix prd hps"                              | 2                 | ["Windows"]                               |
| "aviva uk:cvh dev hps"                                  | 3                 | ["AIX"]                                   |
| "aviva uk:administrator (dc) prd hpg"                   | 2                 | ["AIX"]                                   |
| "aviva uk:cosmic claims dev hps"                        | 3                 | ["AIX","z/OS"]                            |
| "aviva uk:cvs infrastructure norwich uki1 pre hps"      | 5                 | ["Windows"]                               |
| "aviva uk:keymaster prd hpg"                            | 1                 | ["z/OS"]                                  |
| "aviva uk:administrator (ukhe) pre hps"                 | 2                 | ["Windows"]                               |
| "aviva uk:sas (ukgi) pre hps"                           | 2                 | ["AIX"]                                   |
| "aviva uk:axis (ukl) pre hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:contact management system dev hps"            | 1                 | ["Windows"]                               |
| "aviva uk:system arch inf web pubsher (ai) prd hpg"     | 2                 | ["Windows"]                               |
| "aviva uk:ecommerce single sign on prv hps"             | 4                 | ["Linux"]                                 |
