Full Node Name|System Group Name|System Group Type
appl340a.via.novonet|HPSA|reporting
appl340a.via.novonet|NONHPSA|reporting
appl341a.via.novonet|NONHPSA|reporting
appl342a.via.novonet|NONHPSA|reporting
appl343a.via.novonet|NONHPSA|reporting
appl344a.via.novonet|NONHPSA|reporting
appl347a.via.novonet|NONHPSA|reporting
appl898a.via.novonet|NONHPSA|reporting
appl899a.via.novonet|NONHPSA|reporting
appp001a.via.novonet|HPSA|reporting
appp001a.via.novonet|NONHPSA|reporting
appp035a.via.novonet|NONHPSA|reporting
appp039a.via.novonet|NONHPSA|reporting
appp040a.via.novonet|NONHPSA|reporting
appp042a.via.novonet|NONHPSA|reporting
appp043a.via.novonet|NONHPSA|reporting
appp044a.via.novonet|NONHPSA|reporting
appp048a.via.novonet|NONHPSA|reporting
appp050a.via.novonet|NONHPSA|reporting
appp314l.via.novonet|NONHPSA|reporting
appp315l.via.novonet|NONHPSA|reporting
appp316l.via.novonet|NONHPSA|reporting
appp400a.ecs.com|NONHPSA|reporting
appp401a.ecs.com|NONHPSA|reporting
appp479l.via.novonet|HPSA|reporting
appp481l.via.novonet|NONHPSA|reporting
appp483l.via.novonet|NONHPSA|reporting
appp490l.via.novonet|HPSA|reporting
appp490l.via.novonet|NONHPSA|reporting
appp491l.via.novonet|NONHPSA|reporting
appp492l.via.novonet|NONHPSA|reporting
appp493l.via.novonet|NONHPSA|reporting
appp494l.via.novonet|NONHPSA|reporting
appp495l.via.novonet|NONHPSA|reporting
appr001a.via.novonet|NONHPSA|reporting
appr002a.via.novonet|NONHPSA|reporting
appr003a.via.novonet|NONHPSA|reporting
appr004a.via.novonet|NONHPSA|reporting
apps004a.via.novonet|NONHPSA|reporting
apps010a.via.novonet|NONHPSA|reporting
appt003a.via.novonet|NONHPSA|reporting
appu006a.via.novonet|NONHPSA|reporting
appu007a.via.novonet|NONHPSA|reporting
appu008a.via.novonet|NONHPSA|reporting
appu018a.via.novonet|NONHPSA|reporting
appu022a.via.novonet|NONHPSA|reporting
appu025a.via.novonet|NONHPSA|reporting
appu027a.via.novonet|NONHPSA|reporting
appu028a.via.novonet|NONHPSA|reporting
appu031a.via.novonet|NONHPSA|reporting
appu032a.via.novonet|NONHPSA|reporting
appu034a.via.novonet|NONHPSA|reporting
appu037a.via.novonet|NONHPSA|reporting
appu150a.ecs.com|NONHPSA|reporting
appv332a.via.novonet|NONHPSA|reporting
appw500a.ecs.com|NONHPSA|reporting
armstrong1.via.novonet||
armstrong2.via.novonet||
aston cluster.via.novonet||
austin cluster.via.novonet||
avitp01.via.novonet||
avits01.via.novonet||
baker1.via.novonet||
