Full Node Name|Inventory ID|Latest RIM Connect|Latest RIM Load|browser status
025fv1b.via.novonet||||
025fv2b.via.novonet||||
026fv1c.via.novonet||||
026fv2c.via.novonet||||
143dv1c.via.novonet||||
143dv2c.via.novonet||||
22bdv1b.via.novonet||||
22bdv2b.via.novonet||||
3590-manual ctl.via.novonet||||
3590-manual dr0.via.novonet||||
3590-manual dr1.via.novonet||||
3838143.via.novonet||||
3838421.via.novonet||||
3838422.via.novonet||||
3fbdv1b.via.novonet||||
3fbdv2b.via.novonet||||
5b4dv1c.via.novonet||||
5b4dv2c.via.novonet||||
5b5dv1b.via.novonet||||
5b5dv2b.via.novonet||||
5b6dv1b.via.novonet||||
5b6dv2b.via.novonet||||
5b7dv1c.via.novonet||||
5b7dv2c.via.novonet||||
9309 rack.via.novonet||||
appl167a.via.novonet|AMFYBBKI4SZQSDSLGWHCWL2F44|2012-08-06 02:19:00|2012-11-01 03:51:00|
appl168a.via.novonet|O5YCYO4VBGJFJM4CVAD4RDGHIY|2013-12-08 02:04:00|2013-12-10 03:59:00|
appl169a.via.novonet|KMWLWEAMNKFARUGLME5TVNFNDY|2013-12-08 02:03:00|2013-12-10 03:59:00|
appl171a.via.novonet|Q43RFM254CJZTWU2US5KEIGAHA|2013-12-08 03:51:00|2013-12-10 03:59:00|PROD
appl172a.via.novonet|3C27B2RTPWHIHDBANFGPS336MY|2013-12-08 03:59:00|2013-12-10 03:59:00|PROD
appl174a.via.novonet|423PSQ54BWEYYIZAAJQBHZEOQU|2013-12-08 03:25:00|2013-12-10 03:59:00|RTP
appl188a.via.novonet|A74PSQGG3ABVOSOFG55QDWAYRI|2013-12-08 02:31:00|2013-12-10 03:59:00|
appl193a.via.novonet|XVIEFOSW4F7L4XW3A27OEPBWPA|2013-12-08 03:47:00|2013-12-10 03:59:00|
appl194a.via.novonet|WZ4OASDWRB7X2HMNOMQA2EDS2A|2013-12-01 03:18:00|2013-12-10 03:59:00|
appl195a.via.novonet|5TALPIYXF6ABXM3TPSQRR346HE|2013-12-08 04:07:00|2013-12-10 03:59:00|
appl196a.via.novonet|AZRKYZPSRZUPAYQUI4MAJW5VCM|2013-12-08 02:32:00|2013-12-10 03:59:00|PROD
appl210a.via.novonet|WN5W4MJKPGVI6UZMMBYA24CLQY|2013-12-08 03:36:00|2013-12-10 03:59:00|
appl211a.via.novonet|M7MUM6XJPKSSSOEBZFCWZUK7QY|2013-12-08 04:00:00|2013-12-10 03:59:00|
appl213a.via.novonet|F7OUFAWOKYJKQMBYESOK5QSQIE|2013-12-08 03:42:00|2013-12-10 03:59:00|
appl217a.via.novonet|ZHII43LVBPTUN4I3ZDRZTAA7DQ|2013-12-08 02:34:00|2013-12-10 03:59:00|
appl229a.via.novonet|374GLSSQUKXC5U4SAZA3LHGHIY|2013-12-08 03:34:00|2013-12-10 03:59:00|
appl230a.via.novonet|BXX6QPWXEY5HLUAT6USRAWJXZM|2013-12-08 03:57:00|2013-12-10 03:59:00|
appl231a.via.novonet|NXRU7JP6WHY3PYMHIUO6L2SSKI|2013-12-08 02:42:00|2013-12-10 03:59:00|
appl233a.via.novonet|N34C6DJTRC6EFXY2L7PDDUBO2M|2013-12-08 03:46:00|2013-12-10 03:59:00|PROD
appl237a.via.novonet|KDEIBUEMBCBQM2WBGNJ6YUNLLY|2013-12-08 02:52:00|2013-12-10 03:59:00|
appl239a.via.novonet|IH5UKGFNOHPMUZWVZG3DVDWPJU|2013-12-01 03:27:00|2013-12-10 03:59:00|
appl240a.via.novonet|EDF5E6LQVZ5ZJHXEHNMTCGIVHI|2013-12-08 03:59:00|2013-12-10 03:59:00|
appl241a.via.novonet|NQHYHZWXIXM7MJ6OWOLLN4EJKE|2013-12-08 03:31:00|2013-12-10 03:59:00|PROD
appl242a.via.novonet|OICB2KNQLYJX5CZ65RJALXKSCE|2013-12-08 02:30:00|2013-12-10 03:59:00|
appl243a.via.novonet|7NBRMP6WS5IBFSG2R7RD2ZMHGQ|2013-12-08 02:09:00|2013-12-10 03:59:00|
appl244a.via.novonet|GGN27Q4UCH7IU4Z6RXWYQ3OGYM|2013-12-08 02:48:00|2013-12-10 03:59:00|
appl245a.via.novonet|KFE5RU5UX5KIUODTVSB2EK26OA|2013-12-08 03:37:00|2013-12-10 03:59:00|
appl246a.via.novonet|AR4FDEY2E7TVB7WJGA2MIQADAI|2013-12-08 03:48:00|2013-12-10 03:59:00|
