Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:bank address prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:ordinary business prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:schemes accounts prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:unisure prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:work monitoring prd hpp|ibma.via.novonet|ims/db|IMP2
aviva uk:merlin dev hps|uknwsaviv278.via.novonet|oracle single instance|IMR01D ORADB
aviva uk:merlin prd hpg|ukhacn455 cluster.via.novonet|oracle single instance|IMR01P ORADB
aviva uk:merlin dev hps|uknwsaviv278.via.novonet|oracle single instance|IMR01T ORADB
aviva uk:merlin uat hps|uknwsaviv278.via.novonet|oracle single instance|IMR01U ORADB
aviva uk:merlin prd hpg|ukhacn455 cluster.via.novonet|oracle single instance|IMR02P ORADB
aviva uk:mainframe infrastructure support dev hpb|ibm6.via.novonet|ims/db|IMS1
aviva uk:mainframe infrastructure support dev hpb|ibmb.via.novonet|ims/db|IMS2
aviva uk:data loss prd hpg|uknwsaviv772.via.novonet|oracle single instance|INM01P ORADB
aviva uk:tam 5 (ecommerce) dev hpb|iamwd02.ecs.com|tivoli access manager - webseal|INST01_EX_#IAMWD02
aviva uk:tam 5 (ecommerce) dev hpb|iamwd03.ecs.com|tivoli access manager - webseal|INST01_EX_#IAMWD03
aviva uk:tam 5 (ecommerce) pre hps|prxp001t.via.novonet|tivoli access manager - webseal|INST01_EX_#PRXP001T
aviva uk:tam 5 (ecommerce) pre hps|prxp002t.via.novonet|tivoli access manager - webseal|INST01_EX_#PRXP002T
aviva uk:tam 5 (ecommerce) pre hps|prxp003t.via.novonet|tivoli access manager - webseal|INST01_EX_#PRXP003T
aviva uk:tam 5 (ecommerce) pre hps|prxp004t.via.novonet|tivoli access manager - webseal|INST01_EX_#PRXP004T
aviva uk:tam 5 (ecommerce) uat hps(x)|prxu002t.via.novonet|tivoli access manager - webseal|INST01_IN_#PRXU002T
